ID,URL,NAME,ADDRESS,CITY,SCHOOL_TYPE,LEVEL_CODE
28ecc0e9-02ad-448a-9a50-740f447cd1be,https://educationdestinationasia.com/school/beijing-haidian-international-school,Beijing Haidian International School,Beijing,Beijing,"Primary Schools, Secondary Schools","p, s"
9cba1a15-2142-49e6-8966-069abdc46fbc,https://educationdestinationasia.com/school/british-vietnamese-international-school-1,British Vietnamese International School,Ho Chi Minh City,Ho Chi Minh City,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
ee30acff-b81c-43ec-a9bb-fa6e17ebcd8a,https://educationdestinationasia.com/school/the-british-school-of-beijing-shunyi,The British School of Beijing (Shunyi),Beijing,Beijing,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
fb86fa72-bd70-4aad-bc98-32c91efa687b,https://educationdestinationasia.com/school/the-westminster-school-dubai,The Westminster School Dubai,United Arab Emirates (UAE),United Arab Emirates (UAE),"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
26b67f65-9f2a-4eef-aae4-5d2d0e9f858d,https://educationdestinationasia.com/school/the-hamilton-international-school,The Hamilton International School,,,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
ee29e08c-7fbc-4b88-9e62-b0df5e9aa6db,https://educationdestinationasia.com/school/rosary-private-school-abu-dhabi,Rosary Private School,United Arab Emirates (UAE),United Arab Emirates (UAE),"Secondary Schools, Primary Schools","s, p"
29599956-4cea-4855-817e-0c38cff161ae,https://educationdestinationasia.com/school/garden-international-school-thailand,"Garden International School, Eastern Seaboard, Thailand",Thailand,Thailand,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
a04cfbde-cfcd-4436-b758-3e99efe00a3e,https://educationdestinationasia.com/school/gems-dubai-american-academy,GEMS Dubai American Academy,United Arab Emirates (UAE),United Arab Emirates (UAE),"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
421dea0c-12d0-4556-a3cd-d5b5bfb0dc62,https://educationdestinationasia.com/school/sekolah-pelita-harapan-kemang-village,Sekolah Pelita Harapan Kemang Village,Indonesia,Indonesia,Primary Schools,p
611720bf-7ed5-438b-8e14-5984e3c4079d,https://educationdestinationasia.com/school/indian-school-ajman,International Indian School,United Arab Emirates (UAE),United Arab Emirates (UAE),"Secondary Schools, Primary Schools","s, p"
cc0c8b05-5a98-42e1-b3ba-93fa437ad838,https://educationdestinationasia.com/school/trinity-international-school,Trinity International School,Bangkok,Bangkok,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
76f298fd-0252-479d-82cf-24e6d422654f,https://educationdestinationasia.com/school/mes-indian-school-of-doha,M.E.S. Indian School of Doha,Doha,Doha,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
5e0ac876-9db1-432a-8670-190f746c50ce,https://educationdestinationasia.com/school/zhengzhou-middle-school,Zhengzhou Middle School,China,China,,
cc00e69e-aafb-47be-91aa-488f9b503be7,https://educationdestinationasia.com/school/summit-international-school,Summit International School,Abu Dhabi,Abu Dhabi,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
9892e8e3-7e33-45ce-a1bd-578597631076,https://educationdestinationasia.com/school/shanghai-american-school,Shanghai American School,Shanghai | China,Shanghai | China,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
d304a22a-b9dd-4f40-a168-139dc369d962,https://educationdestinationasia.com/school/star-international-school,Star International School,Dubai,Dubai,"Preschool/Kindergarten, Primary Schools","k, p"
73c57d3d-a392-43e9-b1c1-260d8466f3a0,https://educationdestinationasia.com/school/jurong-country-garden-school,Jurong Country Garden School,China,China,,
c23a41b0-7ff0-46d9-b330-d659c71e9a19,https://educationdestinationasia.com/school/gateway-international-school,Gateway International School Hanoi,Hanoi,Hanoi,"Primary Schools, Secondary Schools","p, s"
c61ddf64-c5fc-4567-b8dd-19c4c55f1b96,https://educationdestinationasia.com/school/american-pacific-international-school-primary,American Pacific International School (Primary),Thailand,Thailand,Primary Schools,p
6648bccb-857d-4910-909d-9b04a61aeebd,https://educationdestinationasia.com/school/singapore-international-school-of-bangkok-3,Singapore International School of Bangkok (Thonburi),Bangkok,Bangkok,"Preschool/Kindergarten, Primary Schools","k, p"
7d14672f-f253-4cee-b374-68e41b15a131,https://educationdestinationasia.com/school/rc-international-school,RC International School,Bangkok,Bangkok,"Preschool/Kindergarten, Primary Schools","k, p"
96ef952e-195d-4f39-8742-0b393fe1c048,https://educationdestinationasia.com/school/anglo-singapore-international-school-3,Anglo Singapore International School (Korat),Thailand,Thailand,"Preschool/Kindergarten, Primary Schools","k, p"
eb2b5c6b-0d2e-4550-9bfe-d6ca23bc54f8,https://educationdestinationasia.com/school/upbeat-international-school-atsuta-campus,"UPBEAT International School, Atsuta Campus",Nagoya,Nagoya,"Primary Schools, Preschool/Kindergarten","p, k"
d3b4eb57-2da6-47fc-a712-defdf1e8a06a,https://educationdestinationasia.com/school/the-pearl-primary-school,The Pearl Academy,Abu Dhabi,Abu Dhabi,Primary Schools,p
8efa7b6b-be06-40b3-8fc6-aa2c80ea2bbc,https://educationdestinationasia.com/school/the-school-of-research-science,The School of Research Science,United Arab Emirates (UAE),United Arab Emirates (UAE),"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
62e62435-cfde-4af0-96a3-77cc3cacea56,https://educationdestinationasia.com/school/global-sevilla-puri-indah-campus,Global Sevilla Puri Indah Campus,Indonesia,Indonesia,,
10a2c0db-4838-4003-8b08-bc1104ace3ef,https://educationdestinationasia.com/school/etonhouse-thao-dien,EtonHouse Thao Dien,,,Preschool/Kindergarten,k
4f1e9dfe-3c32-49a1-b0e0-af1e1ade3b9a,https://educationdestinationasia.com/school/overseas-chinese-high-school-daegu,"Overseas Chinese High School, Daegu",Daegu,Daegu,Secondary Schools,s
67b6df0b-fb79-42bf-9029-2f7f71d946e7,https://educationdestinationasia.com/school/the-millennium-school,The Millennium School,Dubai,Dubai,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
a44d6faa-233c-4dd5-8d81-e9569a685275,https://educationdestinationasia.com/school/swiss-international-school-qatar-sisq,Swiss International School Qatar (SISQ),Doha,Doha,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
bff30556-c30a-4467-bd74-6b1df3c16386,https://educationdestinationasia.com/school/kings-school-uae,Kings’ School UAE,United Arab Emirates (UAE) | United Arab Emirates (UAE) | United Arab Emirates (UAE) | United Arab Emirates (UAE),United Arab Emirates (UAE) | United Arab Emirates (UAE) | United Arab Emirates (UAE) | United Arab Emirates (UAE),"Preschool/Kindergarten, Primary Schools","k, p"
341c3f57-2775-47b6-8157-11589fa79879,https://educationdestinationasia.com/school/hope-international-school,Hope International School,Beijing,Beijing,,
d0d49c09-fa12-4de2-b900-23188545fabb,https://educationdestinationasia.com/school/rc-international-school,RC International School,Bangkok,Bangkok,"Preschool/Kindergarten, Primary Schools","k, p"
27e9d4a3-b9f5-4fc3-bae8-30dcd1724d8f,https://educationdestinationasia.com/school/raffles-american-school,Raffles American School (RAS),"Iskandar Puteri, Johor",Iskandar Puteri,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
aad09c5a-ff60-4827-96b0-2be7ba047a80,https://educationdestinationasia.com/school/mes-indian-school-of-doha,M.E.S. Indian School of Doha,Doha,Doha,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
af52bf75-b29c-46f9-a966-768ec1080df3,https://educationdestinationasia.com/school/oxburgh-international-school,Oxburgh International School,"Cheras, Selangor",Cheras,"Primary Schools, Secondary Schools","p, s"
